QuickDAQ Data
1/1/0001 12:00:00 AM
Notes:		
Sample Rate:	200	 Hz	
Measurement Type	Time Waveform	Time Waveform	Time Waveform	
Channel Name	DT9857E-16(00).Ain 1	DT9857E-16(00).Ain 2	DT9857E-16(00).Ain 3	
X Axis Units	Sec	Sec	Sec	
Y Axis Units	g	g	g	
Seconds	Real	Real	Real	
 1.6450000000	 7.61747E-004	 0.0012922287	 0.0013053417	
 1.6500000000	 8.30889E-004	 0.0015032291	 0.0014758110	
 1.6550000000	 7.64132E-004	 0.0013577938	 0.0013756752	
 1.6600000000	 7.64132E-004	 0.0013875961	 0.0010466576	
 1.6650000000	 8.63075E-004	 0.0014460087	 0.0013613701	
 1.6700000000	 8.70228E-004	 0.0011849403	 0.0013661385	
 1.6750000000	 7.41482E-004	 0.0011527538	 0.0012207031	
 1.6800000000	 6.71148E-004	 0.0013422966	 0.0012862682	
 1.6850000000	 6.06775E-004	 0.0015151501	 0.0011146069	
 1.6900000000	 6.53267E-004	 0.0012207031	 0.0013029575	
 1.6950000000	 8.82149E-004	 0.0012743473	 0.0012469292	
 1.7000000000	 0.0010359287	 0.0016105175	 0.0013208389	
 1.7050000000	 9.05991E-004	 0.0012433529	 8.30889E-004	
 1.7100000000	 8.79765E-004	 0.0013041496	 0.0013458729	
 1.7150000000	 9.31025E-004	 0.0013828278	 0.0014090538	
 1.7200000000	 9.89437E-004	 0.0012052059	 0.0016021729	
 1.7250000000	 5.32866E-004	 0.0015461445	 0.0012528896	
 1.7300000000	 7.76052E-004	 0.0015497208	 0.0011754036	
 1.7350000000	 0.0010395050	 0.0013995171	 0.0013995171	
 1.7400000000	 0.0011801720	 0.0012183189	 0.0012886524	
 1.7450000000	 9.82285E-004	 0.0014102459	 9.67979E-004	
 1.7500000000	 7.23600E-004	 0.0017321110	 0.0013470650	
 1.7550000000	 0.0010168552	 0.0010883808	 0.0013554096	
 1.7600000000	 8.84533E-004	 0.0013864040	 0.0015163422	
 1.7650000000	 7.20024E-004	 0.0012302399	 0.0011312962	
 1.7700000000	 7.97510E-004	 0.0014758110	 0.0013124943	
 1.7750000000	 7.65324E-004	 0.0011694431	 8.92878E-004	
 1.7800000000	 9.88245E-004	 0.0010085106	 0.0013816357	
 1.7850000000	 8.22544E-004	 0.0011527538	 0.0012516975	
 1.7900000000	 6.46114E-004	 0.0013780594	 0.0010716915	
 1.7950000000	 8.97646E-004	 0.0013732910	 0.0012898445	
 1.8000000000	 0.0010228157	 0.0011110306	 0.0012862682	
 1.8050000000	 8.27312E-004	 0.0014173985	 0.0012898445	
 1.8100000000	 8.77380E-004	 0.0012397766	 0.0010573864	
 1.8150000000	 7.55787E-004	 0.0011873245	 0.0012516975	
